id,opportunity_id,is_fit,fit_score,title,description_raw,url,organization,publication_date,closing_date
38,93,1,3,"227745 - Risk Assessment and Resilience Planning Project","Vancouver Island North Tourism (VINT) is seeking qualified consulting firms or teams to conduct a Risk Assessment and Resilience Planning Project to strengthen the region’s tourism sector against climate, operational, and reputational risks. Northern Vancouver Island is experiencing increasing macro-economic and climate-related disruptions— including resource policy changes, trade barriers, workforce pressures, wildfire, extreme weather, sea-level rise, and infrastructure vulnerabilities VINT aims to proactively assess these risks and develop practical, place-based adaptation strategies that support long-term investment decisions, market competitiveness, visitor experience, reconciliation, and community wellbeing. Recent events and trends highlight the urgency of resilience planning: • Increasing wildfire activity and related economic impacts. • Labour market constraints in multiple sectors across the North Island. • Evolving policy and economic frameworks. • Infrastructure investment priorities identified in the North Island Destination Development Strategy. • Provincial and national calls for local leadership in climate adaptation (e.g., Destination BC Climate Action Plan, National Adaptation Strategy). VINT seeks a resilience strategy that acknowledges existing tourism marketing and economic development plans and provides a deeper layer of risk management and adaptive planning. This RFP invites proponents with expertise in climate risk assessment, tourism resilience, destination development, and stakeholder engagement to submit proposals that will, within the context of the tourism sector: • Assess economic, climate, operational, and reputational risks affecting the Vancouver Island North visitor economy. • Identify vulnerabilities across tourism infrastructure, transportation access, workforce capacity, and community systems. • Develop strategic, actionable adaptation recommendations that support future-proof tourism development, marketing, and investment decisions. • Support alignment with provincial and federal climate adaptation frameworks. • Strengthen regional reconciliation and collaboration, including engagement with Indigenous Nations, municipalities, and tourism operators See more",https://www.merx.com/public/supplier/interception/view-notice/443972001734?origin=0,"Regional District of Mount Waddington",2026-04-16,2026-05-08
56,111,1,3,"227958 - Consultant, Corporate Charter Formalization","Westbank First Nation (WFN) is seeking qualified Consulting firms to bid on formalizing and modernizing the Corporate Charter between WFN and Ntityix Development Corporation (Ntityix). See more",https://www.merx.com/public/supplier/interception/view-notice/443970516655?origin=0,"Westbank First Nation",2026-04-15,2026-05-05
81,142,1,3,"227809 - Language Exhibition Design","Métis Nation British Columbia is seeking professional services to design and help install a Michif languages exhibition at the Amelia Douglas Institute. See more",https://www.merx.com/public/supplier/interception/view-notice/443968635896?origin=0,"Metis Nation BC",2026-04-14,2026-04-24
90,151,1,3,"227869 - Regional Tourism Strategy 2026","The Regional District of Bulkley-Nechako (the Regional District) is seeking proposals from qualified consulting firms with demonstrated knowledge and experience to develop a new Regional Tourism Strategy. The current RDBN Tourism Plan was completed in 2010 and has been fully implemented. The RDBN Tourism Strategy will be an iterative, strategic document designed to establish a shared vision for tourism across the region. It will outline clear goals, objectives, and actions to support that vision and will be developed collaboratively with tourism operators, Indigenous communities, the public, and local government. Once finalized, the strategy will be endorsed by the Regional District Board of Directors and will guide future tourism-related initiatives and the allocation of RDBN resources. The Regional District would like to achieve the following goals through this project: Update high-level, baseline data and information on the tourism sector in the RDBN. Engage stakeholders to renew a shared vision for tourism in the RDBN and build on the work completed under the 2010 Tourism Plan. Recommend priorities and actions that reflect current trends, opportunities, and stakeholder perspectives. Develop a detailed five-year action and implementation plan to support identified priorities. The RDBN intends this project to be delivered through a collaborative partnership between the Consultant and staff. Staff will play an active and hands-on role throughout the project, including contributing to research, coordinating logistics, supporting data collection, and co-developing engagement activities and strategy content. Proponents should structure their proposed approach to reflect a highly collaborative working relationship, with regular working sessions and shared responsibilities between the Consultant and staff. See more",https://www.merx.com/public/supplier/interception/view-notice/443968594870?origin=0,"Regional District of Bulkley-Nechako",2026-04-14,2026-05-28
93,154,1,3,"227882 - RP2026-013_RFP_Stewardship Plan Development and Agency/Interest-holder Engagement","The Capital Regional District (CRD) is seeking proposals for an experienced proponent to develop a Regional Parks Stewardship Plan and lead agency/interest-holder engagement on the draft plan concepts. The Stewardship Plan will establish a comprehensive, systemwide policy framework that brings together conservation, recreation (visitor experience), and First Nations cultural and traditional values to guide the long-term stewardship of CRD regional parks. See more",https://www.merx.com/public/supplier/interception/view-notice/443968566060?origin=0,"Capital Regional District",2026-04-14,2026-05-20
88,149,1,2,"227864 - Regional Economic Development Plan Update","The Regional District of Bulkley-Nechako (the Regional District) is seeking proposals from qualified consulting firms to undertake the development of a comprehensive Economic Development Strategy to guide sustainable economic growth across the region from 2026 to 2030. This Strategy will provide a clear, actionable roadmap to strengthen the regional economy, enhance competitiveness, and support resilient communities. Building on previous planning work, the Strategy will reflect current economic conditions, emerging opportunities, and the unique strengths of the region, including its natural resources, strategic location, and diverse communities. The Strategy will be developed through a collaborative and inclusive process, engaging municipalities, electoral areas, First Nations, businesses, industry groups, and residents. It will identify priority sectors, address workforce and infrastructure challenges, and outline practical actions to support business development, investment attraction, and community vitality. The final document will include measurable outcomes and an implementation framework to ensure the Strategy is both practical and effective in supporting long-term economic prosperity. The Regional District intends this project to be delivered through a collaborative partnership between the Consultant and staff. Staff will play an active and hands-on role throughout the project, including contributing to research, coordinating logistics, supporting data collection, and co-developing engagement activities and strategy content. Proponents should structure their proposed approach to reflect a highly collaborative working relationship, with regular working sessions and shared responsibilities between the Consultant and staff. The Regional District is posting this Request for Proposal (RFP) concurrently with an RFP for the RDBN Tourism Strategy. The Regional District encourages proponents to submit proposals to complete the Economic Development Plan Update and the Regional Tourism Strategy simultaneously in a manner that maximizes opportunities for project efficiency and cost savings. See more",https://www.merx.com/public/supplier/interception/view-notice/443968594878?origin=0,"Regional District of Bulkley-Nechako",2026-04-14,2026-05-28
26,78,1,1,"S5884598 - NPP – S5884598 - THS SA – One (1) Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region.","Temporary Help Services Requirement? This requirement is for: Department of National Defense (DND)?? This requirement is open only to those supply arrangement holders under EN578-172870 who qualified under the following streams and categories: Stream 13.9- Special Advisor The following SA Holders have been invited to submit a proposal: ? Akkodis Canada Inc. Deloitte Inc. Elevated Thinking Inc. ForgeSight Technologies Inc. Intelliscient Inc NATTIQ INC. OLAV CONSULTING CORP., MOSHWA ABORIGINAL INFORMATION TECHNOLOGY CORPORATION, IN JOINT VENTURE Ombre Consulting Services Incorporated RHEA INC. T.I.7 Inc. Versatil BPI Inc. Description of the Requirement:? Department of National Defense (DND) has a requirement for Temporary Help Services and has issued a Request for Proposal to suppliers generated from CPSS who are qualified under the streams and categories listed above.? Level of Security Requirement:? Resource Minimum Security Level Required is: DOS Reliability See more",https://www.merx.com/public/supplier/interception/view-notice/22785002050?origin=0,"Department of National Defence (DND)",2026-04-17,2026-05-01
124,194,1,1,"CVRD-26-012 - RFP - Asset Management Business Analyst and Project Manager","The Comox Valley Regional District (CVRD) is seeking to procure the services of a qualified consultant to provide integrated Business Analysis and Project Management services in support of the implementation of the Cityworks computerized maintenance management system (CMMS) across multiple departments. See more",https://www.merx.com/public/supplier/interception/view-notice/443963486369?origin=0,"Comox Valley Regional District",2026-04-10,2026-05-07
176,7,1,1,"NPP – S5884598 - THS SA – One (1) Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region.","Temporary Help Services Requirement​ This requirement is for: Department of National Defense (DND)​​ This requirement is open only to those supply arrangement holders under EN578-172870 who qualified under the following streams and categories: Stream 13.9- Special Advisor The following SA Holders have been invited to submit a proposal: ​ Akkodis Canada Inc. Deloitte Inc. Elevated Thinking Inc. ForgeSight Technologies Inc. Intelliscient Inc NATTIQ INC. OLAV CONSULTING CORP., MOSHWA ABORIGINAL INFORMATION TECHNOLOGY CORPORATION, IN JOINT VENTURE Ombre Consulting Services Incorporated RHEA INC. T.I.7 Inc. Versatil BPI Inc. Description of the Requirement:​ Department of National Defense (DND) has a requirement for Temporary Help Services and has issued a Request for Proposal to suppliers generated from CPSS who are qualified under the streams and categories listed above.​ Level of Security Requirement:​ Resource Minimum Security Level Required is: DOS Reliability",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-789-42896011,"Department of National Defence (DND)",2026-04-17,2026-05-01
186,19,1,1,"One (1) Senior Business Consultant (Bilingual) & One (1) Intermediate Business Process Consultant (English essential)","Independent assessment of existing organizational business planning processes, tools and human resource structures to enable the transition to Integrated Business Planning. As an optional scope of work, the contractor will provide supplemental support to MILPERSCOM as it continues to transition to Integrated Business Planning in follow-on cycles. Amended to extend solicitation closing date on for May 1st 2026 at 2PM ET",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-81-1928451,"Department of National Defence (DND)",2026-04-10,2026-05-01
