id,source,title,organization,url,description,publication_date,closing_date,fit_score,reasoning,matched_services
93,merx,"227745 - Risk Assessment and Resilience Planning Project","Regional District of Mount Waddington",https://www.merx.com/public/supplier/interception/view-notice/443972001734?origin=0,"Vancouver Island North Tourism (VINT) is seeking qualified consulting firms or teams to conduct a Risk Assessment and Resilience Planning Project to strengthen the region’s tourism sector against climate, operational, and reputational risks. Northern Vancouver Island is experiencing increasing macro-economic and climate-related disruptions— including resource policy changes, trade barriers, workforce pressures, wildfire, extreme weather, sea-level rise, and infrastructure vulnerabilities VINT aims to proactively assess these risks and develop practical, place-based adaptation strategies that support long-term investment decisions, market competitiveness, visitor experience, reconciliation, and community wellbeing. Recent events and trends highlight the urgency of resilience planning: • Increasing wildfire activity and related economic impacts. • Labour market constraints in multiple sectors across the North Island. • Evolving policy and economic frameworks. • Infrastructure investment priorities identified in the North Island Destination Development Strategy. • Provincial and national calls for local leadership in climate adaptation (e.g., Destination BC Climate Action Plan, National Adaptation Strategy). VINT seeks a resilience strategy that acknowledges existing tourism marketing and economic development plans and provides a deeper layer of risk management and adaptive planning. This RFP invites proponents with expertise in climate risk assessment, tourism resilience, destination development, and stakeholder engagement to submit proposals that will, within the context of the tourism sector: • Assess economic, climate, operational, and reputational risks affecting the Vancouver Island North visitor economy. • Identify vulnerabilities across tourism infrastructure, transportation access, workforce capacity, and community systems. • Develop strategic, actionable adaptation recommendations that support future-proof tourism development, marketing, and investment decisions. • Support alignment with provincial and federal climate adaptation frameworks. • Strengthen regional reconciliation and collaboration, including engagement with Indigenous Nations, municipalities, and tourism operators See more",2026-04-16,2026-05-08,3,"Fit assessed as High under Guideline #1A because the opportunity involves Indigenous engagement and reconciliation in the context of resilience planning, which aligns with ICE's core services in Indigenous Facilitation & Multistakeholder Engagement and Environmental & Socio-Economic Impact Assessments.","[""Indigenous Facilitation & Multistakeholder Engagement"", ""Environmental & Socio-Economic Impact Assessments""]"
111,merx,"227958 - Consultant, Corporate Charter Formalization","Westbank First Nation",https://www.merx.com/public/supplier/interception/view-notice/443970516655?origin=0,"Westbank First Nation (WFN) is seeking qualified Consulting firms to bid on formalizing and modernizing the Corporate Charter between WFN and Ntityix Development Corporation (Ntityix). See more",2026-04-15,2026-05-05,3,"Fit assessed as High under Guideline #1A because the opportunity involves formalizing a corporate charter between an Indigenous Nation and a development corporation, directly relating to Indigenous Participation Plans and Business Advisory Services with explicit Indigenous engagement keywords such as Westbank First Nation.","[""Indigenous Participation Plans"", ""Business Advisory Services""]"
142,merx,"227809 - Language Exhibition Design","Metis Nation BC",https://www.merx.com/public/supplier/interception/view-notice/443968635896?origin=0,"Métis Nation British Columbia is seeking professional services to design and help install a Michif languages exhibition at the Amelia Douglas Institute. See more",2026-04-14,2026-04-24,3,"Fit assessed as High under Guideline #1A because the opportunity involves Indigenous language exhibition design for the Métis Nation, directly aligning with Indigenous community engagement and cultural preservation services.","[""Comprehensive Community Planning"", ""Indigenous Facilitation & Multistakeholder Engagement""]"
151,merx,"227869 - Regional Tourism Strategy 2026","Regional District of Bulkley-Nechako",https://www.merx.com/public/supplier/interception/view-notice/443968594870?origin=0,"The Regional District of Bulkley-Nechako (the Regional District) is seeking proposals from qualified consulting firms with demonstrated knowledge and experience to develop a new Regional Tourism Strategy. The current RDBN Tourism Plan was completed in 2010 and has been fully implemented. The RDBN Tourism Strategy will be an iterative, strategic document designed to establish a shared vision for tourism across the region. It will outline clear goals, objectives, and actions to support that vision and will be developed collaboratively with tourism operators, Indigenous communities, the public, and local government. Once finalized, the strategy will be endorsed by the Regional District Board of Directors and will guide future tourism-related initiatives and the allocation of RDBN resources. The Regional District would like to achieve the following goals through this project: Update high-level, baseline data and information on the tourism sector in the RDBN. Engage stakeholders to renew a shared vision for tourism in the RDBN and build on the work completed under the 2010 Tourism Plan. Recommend priorities and actions that reflect current trends, opportunities, and stakeholder perspectives. Develop a detailed five-year action and implementation plan to support identified priorities. The RDBN intends this project to be delivered through a collaborative partnership between the Consultant and staff. Staff will play an active and hands-on role throughout the project, including contributing to research, coordinating logistics, supporting data collection, and co-developing engagement activities and strategy content. Proponents should structure their proposed approach to reflect a highly collaborative working relationship, with regular working sessions and shared responsibilities between the Consultant and staff. See more",2026-04-14,2026-05-28,3,"Fit assessed as High under Guideline #1A because the opportunity involves Indigenous communities engagement explicitly and aligns with ICE's core service of Comprehensive Community Planning through collaborative strategic planning with Indigenous stakeholders.","[""Comprehensive Community Planning"", ""Engagement and Consultation Plans""]"
154,merx,"227882 - RP2026-013_RFP_Stewardship Plan Development and Agency/Interest-holder Engagement","Capital Regional District",https://www.merx.com/public/supplier/interception/view-notice/443968566060?origin=0,"The Capital Regional District (CRD) is seeking proposals for an experienced proponent to develop a Regional Parks Stewardship Plan and lead agency/interest-holder engagement on the draft plan concepts. The Stewardship Plan will establish a comprehensive, systemwide policy framework that brings together conservation, recreation (visitor experience), and First Nations cultural and traditional values to guide the long-term stewardship of CRD regional parks. See more",2026-04-14,2026-05-20,3,"Fit assessed as High under Guideline #1A because the opportunity directly matches the Land Use Planning core service and includes explicit Indigenous engagement keywords such as 'First Nations cultural and traditional values' and 'agency/interest-holder engagement'.","[""Land Use Planning"", ""Indigenous Facilitation & Multistakeholder Engagement""]"
451,bidsandtenders,"Development of Child Care Centre","Métis Nation of Ontario",https://metisnationontario.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/0a115f82-5df1-4450-9471-0beebd19d8a4,"The MNO is undertaking the development of a licensed child care centre in Thunder Bay, Ontario, as part of its broader strategy to expand early learning and child care services. The project involves the renovation and adaptation of an existing facility to support a culturally appropriate, safe, and fully licensed child care environment.",2026-04-17,2026-05-15,3,"Fit assessed as High under Guideline #1A because the project involves Indigenous community development (Métis Nation of Ontario) and culturally appropriate child care services, aligning with ICE's core services in Comprehensive Community Planning and Indigenous Participation Plans with explicit Indigenous engagement triggers.","[""Comprehensive Community Planning"", ""Indigenous Participation Plans""]"
706,merx,"FUEL CWRP 2026 - Fuel Management Prescription Development CWRP 2026","City Of Quesnel",https://www.merx.com/public/supplier/interception/view-notice/443977659057?origin=0,"The City of Quesnel Forestry Initiatives Program is seeking proposals for the following work: • Prescription development on: Demo 2 Dragon Lake Elementary, Demo 3 Aspen Heights, FTU 5 West Quesnel Uplands, FTU 6 Baker Drive SW, FTU 10 Quesnel Landfill, FTU 11 Dragon Hill Road, FTU 13 Quesnel Cemetery, FTU 15 Blackwater • The total area for assessing is 59.62 hectares as identified in the 2025 City of Quesnel Community Wildfire Resilience Plan. Treatment area size in the final prescriptions may be smaller. • The prescriptions need to be drafted on the required BCWS template. Production of operational scale maps and the required 2017 spatial and meta data will also be required. • All associated: archeology, First Nations info sharing and consultation, and public engangement. • All obligations of peer-review between MOF and BCWS staff to get the precriptions to final and sealed status. The Contractor shall provide all necessary materials, equipment, labour, and supervision to accomplish prescriptions on 8 fuel treatment units as determined on maps attached to this invitation to tender. See more",2026-04-20,2026-05-04,3,"Fit assessed as High under Guideline #1A because the opportunity involves Indigenous consultation and engagement as part of fuel management prescription development, directly matching ICE's core services in Engagement and Consultation Plans and Land Use Planning with explicit Indigenous and community engagement triggers.","[""Engagement and Consultation Plans"", ""Land Use Planning""]"
767,canadabuys,"Independent Review of Article 23 of the Nunavut Agreement","Department of Indigenous Services (ISC)",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-69-4855437,"April 23, 2026 The following documents have been posted under the Bidding Details tab: 1000247031A_Q&A_Q&R 1-15 1000247031A_Amendment 3 to RFP_Modification 3 à la DDP ******************************************************************************************************************** April 23, 2026 The following document has been posted under the Bidding Details tab: 1000247031A_Q&A_Q&R 1-13 ******************************************************************************************************************** April 21, 2026 The following documents have been posted under the Bidding Details tab: 1000247031A_Q&A_Q&R 1-11 1000247031A_Annex Inuit Benefits Plan ******************************************************************************************************************** April 16, 2026 The following documents have been posted under the Bidding Details tab: 1000247031A_Amendment 2 to RFP_Modification 2 à la DDP 1000247031A_Q&A_Q&R 1-9 ******************************************************************************************************************** April 1, 2026 The following documents have been posted under the Bidding Details tab: 1000247031A_Amendment 1 to RFP_Modification 1 à la DDP 1000247031A_Q&A_Q&R 1-2 ******************************************************************************************************************** Reissue of Solicitation of Offers. This solicitation of offers cancels and supersedes previous solicitation of offers number 1000247031 dated December 9, 2025 with a closing of January 15, 2026 at 2:00 PM EST. This requirement is for: the Department of Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC) This procurement is subject to the Directive on Government Contracts, Including Real Property Leases, in the Nunavut Settlement Area: https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32610 Description of the Requirement: The Department of Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC) has a requirement for the independent review of Article 23 of the Nunavut Agreement. The review will consist of a detailed analysis and assessment of Inuit Employment Plans and other measures taken under Article 23 covering the period of 2016 to 2023. The Contractor is expected to produce a written report, which should include a detailed analysis and assessment of actions taken by Government and Inuit to implement Article 23 between 2016 and 2023. This report will be used to guide the Nunavut Implementation Panel to develop recommendations to the parties about how best to improve implementation efforts going forward. Level of Security Requirement: There are security requirements associated with this procurement, see request for proposal document under the bidding details tab. Proposed period of contract: The proposed period of contract shall be from contract award to March 31, 2027 with the option to extend by up to one 6-month period. Payment: The maximum budget for the payment of the milestone deliverables is $225,000.00 (excluding taxes and any possible payments for travel).",2026-03-17,2026-05-11,3,"Fit assessed as High under Guideline #1A because the opportunity involves an Indigenous Employment Plan review and detailed analysis related to Inuit, which directly matches the Indigenous Participation Plans core service and includes explicit Indigenous engagement keywords.","[""Indigenous Participation Plans (IPPs)""]"
775,canadabuys,"Northern Controlled Environment Agriculture Unit: Co-Design Study","Canadian Space Agency (CSA)",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-339-84040828,"The CSA seeks to contract a multidisciplinary team that brings together a Canadian Controlled Environment Agriculture (CEA) specialized organization and an Inuit firm based in Nunavut. The objective of this contract is to co-develop a conceptual design—including technical drawings (CAD models) and a detailed report—for a deployable CEA unit that meets specific technical, environmental, and Inuit cultural requirements. This work is intended to support the potential future integration of a CEA unit prototype into an Inuit-led initiative aimed at improving local food security in Nunavut. Additionally, the Contractor is expected to go beyond existing solutions by advancing the design through the conceptual integration of mature and near-ready technologies into a novel deployable CEA unit. To meet the CSA space mandate, the contractor must develop new or improve components and subsystems, and tailor them to unprecedented environmental and cultural requirements. The resulting design will inform future CSA activities in both terrestrial and space contexts, addressing food accessibility in Northern communities on Earth while advancing food production capabilities for long-duration space missions. This solicitation has an Inuit Benefits Plan component to it that is included in the basis of selection for contract award. This solicitation is NOT limited to businesses listed on the Inuit Firms Registry.",2026-02-18,2026-05-01,3,"Fit assessed as High under Guideline #1A because the opportunity involves Indigenous engagement with Inuit communities and includes an Inuit Benefits Plan, aligning with ICE's core services and key differentiators.","[""Indigenous Participation Plans (IPPs)"", ""Comprehensive Community Planning (CCPs)"", ""Capacity Building and Training""]"
762,canadabuys,"Request for Information (RFI) Syndicated Research Studies","Department of Public Works and Government Services (PSPC)",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws4300459433-doc4308247078,"In its search for the most economical means of accessing research on its priority issues, the Government of Canada (GC) is looking for syndicated public opinion research studies that could address its research needs. On behalf of the GC, the Public Opinion Research Directorate is seeking detailed information through a Request for Information (RFI) on the studies that are available for purchase with a government-wide subscription. Please note that only studies offering a government-wide subscription will be considered.",2023-11-16,2027-03-31,3,"Fit assessed as High under Guideline #1A because the opportunity involves syndicated research studies which align with the Social Research and Data Collection core service, and it is for the Government of Canada which implies Indigenous-related public opinion research needs.","[""Social Research and Data Collection""]"
